tweet,sarcasm,sentiment,dialect
"""د. #محمود_العلايلي:أرى أن الفريق #أحمد_شفيق رقم مهم في المعادلة السياسية المصرية ولا يمكن إغفالههل ترى أن هذا صحيح؟#أربعة_زائد_واحد""",FALSE,NEU,msa
"""مع فيدرر يا آجا والكبار 😍 https://t.co/hrBeHbkBNu""",FALSE,NEU,msa
“الداعون لمبدأ الاختلاط بين الجنسين؛ كالداعين لإلغاء التسعيرة كلاهما يريد تصفية السوق السوداء بجعلها حرة.”  #الاختلاط  ,TRUE,NEG,msa
"""@ihe_94 @ya78m @amooo5 @badiajnikhar @Oukasafa @reoshalm @Mnory202 مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي""",TRUE,NEG,gulf
"""قل شرق حلب ولا تقل حلب الشرقية ....وقل غرب حلب ولا تقل حلب الغربية ....فحلب موحدة ويريدونها منقسمة #حلب_تنتصر""",FALSE,NEU,msa
"""طبيب #المقاصة: إصابة #أحمد_الشيخ بسيطة تحتاج للراحة فقط https://t.co/VpTVCt8HKE""",FALSE,NEG,msa
مرسي : مش هنام اكتر من اربع ساعات في اليوم...... لو نمت دقيقة كمان زيادة هديك علي دماغك  ,TRUE,NEG,egypt
#انتخبوا_البرص مشكلة,TRUE,NEG,egypt
"""Retweeted هاشتاق العرب (@TheArabHash):#فيديو | أهالي #القدس يرفعون #الأذان فوق أسطح منازلهم تحدياً لقانون سلطة... https://t.co/g43i0Lmuwl""",FALSE,POS,msa
▪️محافظ العاصمة تفقد سير العملية الانتخابية في عدد من لجان الاقتراع   تفقد محافظ العاصمة الشيخ طلال الخالد الأحمد الصباح، عددا من مقار اللجان الانتخابية في بعض مناطق المحافظة، وذلك لمتابعة سير عملية الاقتراع. https://t.co/Eaf0MMoOGP,FALSE,NEU,msa
"""الاتجاه: أوباما يصل الى إسرائيل للمشاركة بدفن بيريس: الاتجاه برس / وكالاتوصل الرئيس الأمريكي باراك أوباما وز... https://t.co/FB2DriOSed""",FALSE,NEU,msa
"""@Eyaaaad والله ما عليش مايمدي ايفون سبع يا حبيبي""",FALSE,POS,gulf
اف هذا🤢,FALSE,NEG,levant
"""ريال مدريد - كلوب أميركا، نصف النهائيالساعه ١/٣٠ الظهر هلا مدريييد ولاشيئ اخر ❤️❤️❤️""",FALSE,POS,msa
"""@kdriyadh @nevermind330 وقت الشدة في ظنتي الجيش المصري حيوقف مع السعودية ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفاية""",TRUE,NEG,egypt
"""عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة #البيان  https://t.co/e2AkVg9QYi :""",FALSE,NEU,msa
"""القطريين اختتطفو لانهم من الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم في اسراهم في سوريا من حزب الله والله يفك اسرا… https://t.co/gYWdMLfZuG""",FALSE,NEG,msa
"""انت لسه مبقتش من شركاء اوبر !! :/الفرصه لسه فأديك .. و بـ 4 خطوات بس ;)1- هتجيب فيش وتشبيه موجه لشركه #اوبر2-... https://t.co/trtb71pTL7""",FALSE,NEU,egypt
"""مفحوص مفعوص من #حماة المحتله ترك حماة وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير #درع_الفرات https://t.co/6AkRDZMd3O""",TRUE,NEG,msa
"""#عاجل :#عرسال :عاصفة ثلجية تهدد حياة الالاف النازحين السوريين في منطقة #عرسال. #ماسة_الثورة_السورية""",FALSE,NEU,msa
"""#لو_كان_بخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين💔""",FALSE,POS,levant
"""انا اشفق على هيلاري كلنتون فهي مضطره لمناظره ""خبل"" نص كلامه مو مفهوم""",TRUE,NEG,msa
"""#دولة_الخلافة  القوات العراقية تفكك العبوات الناسفة التي خلفها داعش بجزيرة الرمادي https://t.co/cvgdVBlMyO `""",FALSE,NEU,msa
#ﺣﻤﺪﻳﻦ_ﻋﺎﻭﺯ_ﻳﺤﺎﻛﻢ_ﺍﺳﺪ_ﺍﻟﻌﺮﺏ برضو #سأنتخب_السيسى_و_مش_هنزل_لمستواك,FALSE,NEG,egypt
انتخاب مرسي بالقطع ليس سبة ولدى اصدقاء لا اشك في ثوريتهم انتخبوه لكني ببساطة لم انتخبه وقاطعت وان كان هو الان الرئيس الشرعي,FALSE,NEU,msa
"""#خطر_في_القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا #القدس وآخرها صوت مآذنها الذي يقاوم #الاحتلال""",FALSE,NEG,msa
"""@WAZJ81 @a4EaA6ogaKArvKT @hjab2030 @a_1k2 العصابة الوهابية تحارب جبهة النصرة وتركت جيوش المجوس تسرح في حلب ههههههه""",TRUE,NEG,msa
"""@MMagadli هههههههههههههه كمان حكاها بشار الأسد بعد ما صلى العيد بداريا! https://t.co/TN0ga1HahA!""",TRUE,NEG,levant
"""#ماجدة_واصف: لا أعرف من هي #سما_المصري و #مهرجان_القاهرة_السينمائي لم يوجه الدعوة لها #مصريات https://t.co/Nj9qYBZymB""",TRUE,NEG,msa
"""RT @AAN_KSA1: ⁧#الارهاب_صناعه_امريكيه_لاسعوديه⁩ ⁧#قانون_جاستا⁩محمد الملا يتكلم عن مذكرات هيلارى كلنتون https://t.co/KMf4l24SOw""",FALSE,NEG,msa
"""@Yaqoobzz قبل كنت اتابع فيدرر بس كرهت نادال يوم طلع""",FALSE,NEG,gulf
"""#شمعة الكترونية لمستخدمي #أجهزة #أبلhttps://t.co/8LikGFNvm9 https://t.co/hV8W8RYY2w""",FALSE,NEU,msa
"""@KarMostafa @shakerrzalloum @YouTube صار #حزب_الله مثل #فيلق_القدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب""",FALSE,NEG,levant
الإعلامي عكاشة اتغير 180درجة بقي بيبرر ارتفاع جميع الأسعار علي المواطن محدود الدخل بكل الوسائل وبقي زي القط الاليف هي مرتبات الاعلاميين بتعمل كدة,TRUE,NEG,msa
"""@Fa6ma_352 @Aldousri85x جستن بيبر 🌚""",FALSE,NEU,msa
"""#حماس ما بعد #مشعل.. بعيون #إسرائيلhttps://t.co/n3tBMfsxsx https://t.co/P0rc6PWIJm""",FALSE,NEU,msa
"""حواري مع النجمة الذهبية #نوال_الزغبي على صفحات جريدة الوطن وتصرح: الآن أصبحت ناضجة! @NawalElZoghbi @al_watanQatar… https://t.co/7nsn4LZUXH""",FALSE,POS,msa
"""الانفاق قاتلة الجنود والمدرعات في #حلب #جبهة_النصرة اشترت من #داعش أسلحة من #تدمر - https://t.co/UMx9fAVC09 https://t.co/qsBafhETU4""",FALSE,NEG,msa
"""@wp_fadii لا انا انصحك تعدل لغتك العربية بعدها تدخل الجامعة.""",FALSE,NEG,egypt
طول م انا بتخانق وبعاتبك يبقا لسه باقيه عليك وبحبك المصيبه بقا لو بطلت اعمل كدا اعرف انك مبقتش تهمني ولا تفرق معايا.,FALSE,NEG,msa
"""@nojoom19 @CyrineAbdlNour @NESREENTAFESH @nadinenjeim نادين نسيب نجيم😌😍😍""",FALSE,NEU,msa
"""@mohanadxoxo اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي""",FALSE,NEU,levant
"""RT @Alkhedheiri: اللهم كما نصرت عبدك موسى في مثل هذا اليوم فأنصر عبادك في #العراق و #سوريا و #اليمن نصرا عاجلا و نسألك أن تحمي وطننا وجنودن…""",FALSE,POS,msa
محد صاح https://t.co/dvS94UFsHG,FALSE,NEU,msa
"""@naji_demani @MousaAlomar يعني على اساس لو ما حلف الناتو والسعودية وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا على مخفر""",FALSE,NEG,gulf
#الاهلي_ضمك_دوووري_المحترررفينإذا أراد أحدكم الكلام فعليه أن يفكر في كلامه فإن ظهرت المصلحة تكلم وإن شك لم يتكلم حتى تظهر.ZIMMd,FALSE,NEU,levant
"""كارثة يرتكبها كل من يقول أن #المولد_النبوي بدعة#الإسلام #أهل_السنة #ألأزهر #المولد_الشريف #الدعوة_النجدية https://t.co/X5VHckEnwo""",FALSE,NEG,msa
"""@drsunhat الله يرحمه ويعفو عنهكان من حزب الخونهاللهم تجاوز عنه واغفر له وامسح ذنوبه يارب""",FALSE,NEG,msa
"""اللهم أنصر أخواننا في حلـب وارحم المستضعفين منهم واجعل تدبير اعداءهم في تدميرهم وعجّل لنا بنصـرهم يارحيم… https://t.co/si8E0Z6aej""",FALSE,POS,msa
في قلبي رجل M❤️                            يلغي كل رجال https://t.co/AQpIJN01g8,FALSE,POS,msa
"""#مباريات_الخميس 15 ديسمبر#ريال_مدريد_كلوب_أمريكا#الشباب_الإتفاق#الباطن_الفيصلي#الجيش_الغرافه#جنوى_فيورنتينا. https://t.co/eD5We9jRUW""",FALSE,NEU,msa
"""اتفاق بملياري دولار بين #الصين و #مصر لتبادل العملات | Eurasia Diary https://t.co/FYqhmLrAYZ с помощью @EurasiaEreb #egypt #china #economy""",FALSE,NEU,msa
"""إثر هجومهما ""الهمجي"" على #حلب.. البيت الأبيض يحذر الأسد و #روسيا#سوريا #واشنطن #روسيا_تحرق_حلب #تدمير_المشافي""",FALSE,NEG,levant
"""@NI3NA3 اقلها اليمن مستقره نوعاً ما ،اما حلب فكم دوله تحارب سوريا ولا زال السوريين يدافعون عن بلادهم اللتي تدمرت بسبب روسيا""",FALSE,NEG,msa
الله ياخذ جاك على هالجوده زين,FALSE,NEG,msa
"""نتحمل مسؤولية الحفاظ على الرسائل من بعد تنسيقها بحيث لا يمكن الوصول إليها إلا من قبل صاحب الرسالة.… https://t.co/bjqc347lmX""",FALSE,NEU,msa
ممثل الجمهورية العربية السورية يسترجع نزار قباني وذكرياته في المدرسة #syria  ,FALSE,POS,msa
"""@amrmsalama بنعتذر لحضرتك يا فندم علي التاخير.. سيتم اقلاع الرحلة في تمام الساعة 18:00 UTC تحت رقم 1800 بدلا من 800 بنتمنالك رحلة سعيدة.""",FALSE,POS,egypt
صرت موا 🙈,FALSE,POS,msa
#انتخبوا_العرص بقت مكتوبة ف كل شوارع #مصر,TRUE,NEG,egypt
"""هاري بوتر يعود من جديد 🐥😂😂😂 https://t.co/6BpABMDRSf""",FALSE,NEU,egypt
"""جبير ايه ؟! دا وزير الشؤون الخارجية القطري ذات نفسه عندنا بس عشان اجتماع الجامعة العربية ... https://t.co/WcDbB86jXO""",FALSE,NEU,msa
"""يوسف الحسينى يسب السعودية لقطعها المساعدات عن سيسى: يا شحاتين ياارهابيين احنا يا ما اديناكم رز ومحدش حماكم غيرناhttps://t.co/JejrzcCTPa""",TRUE,NEG,gulf
"""RT @algepally: شاهد: كيف كشفت روسيا إطلاق صواريخ باليستية إسرائيلية وأمريكية تجاه سوريا https://t.co/ABhD8b7YmD via @sputnik_ar""",FALSE,NEU,msa
"""@BoHomoud007 نفس من عبدوا كاسترو من العرب يعبدون الولي السفيه و بوتن اليوم.""",TRUE,NEG,msa
@almaith_3a @HGH__18  نشطتها مال هاري بوتر احس 😂,FALSE,NEU,gulf
#مررررررزوووق_فاااااااالح_الحححححبييييينيالولي،t6c,FALSE,POS,msa
#كلنا_ااالدلمانيتدريجيًا بدأت افقد القدرة على إنشاء صداقات وفتح حوارات طويله.. او أي شيء يحتاج بداية.JzoX,FALSE,POS,msa
ألحين العيناويه مأبيسكتون تري الوحده ناقص 8 لاعبين واجانب محد ويلعبون بالصغار !،...  واضح,FALSE,NEG,msa
هههههه شخص برمضان أذكر كتبت له نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجئ بوجوده معاي بمااده #سُخريه القدر,TRUE,NEG,msa
يارب لم يعد للقلب متسع لمزيد من الحزن.,FALSE,NEG,msa
"""امين عام الجامعة العربية يبحث مع مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينية المحتلة https://t.co/wDnxaKzmTf""",FALSE,NEU,msa
الحقيقة اللي مش عايزين يفهموها ان النقد لو مكنش بالطريقة النضيفة دي كان هيبقى في شتايم وقلة ادب وهيزعلوا بجد   #باسم_يوسف,TRUE,NEG,msa
